Name,Input List,Start Frame,End Frame,Area AVG,Area STD,RDF Peak,Coordination at Minimum,RG AVG,RG STD,Run 1,Run 2
polymerP13,"[(1, 'E7'), (2, 'E8'), (3, 'S4'), (4, 'S0'), (5, 'E9'), (6, 'S5'), (7, 'E5'), (8, 'E1'), (9, 'S3'), (10, 'S9'), (11, 'E4'), (12, 'S2'), (13, 'E5'), (14, 'E5'), (15, 'E9'), (16, 'E4'), (17, 'S9'), (18, 'E6'), (19, 'S0'), (20, 'E1')]",830,899,14442.36,478.76,1.73,3.91,17.34,0.15,-,900
polymerP14,"[(1, 'E0'), (2, 'S0'), (3, 'E5'), (4, 'E4'), (5, 'E9'), (6, 'E7'), (7, 'S4'), (8, 'E1'), (9, 'S2'), (10, 'S0'), (11, 'S3'), (12, 'E8'), (13, 'S1'), (14, 'S5'), (15, 'E2'), (16, 'E0'), (17, 'S8'), (18, 'S4'), (19, 'S2'), (20, 'E6')]",692,761,12820.66,373.52,1.84,4.18,17.57,0.20,762,-
polymerP15,"[(1, 'S5'), (2, 'S7'), (3, 'E9'), (4, 'S4'), (5, 'E0'), (6, 'S2'), (7, 'S2'), (8, 'S4'), (9, 'E6'), (10, 'E8'), (11, 'E2'), (12, 'E7'), (13, 'E0'), (14, 'E8'), (15, 'S0'), (16, 'E1'), (17, 'E7'), (18, 'E6'), (19, 'S9'), (20, 'E7')]",830,899,15008.69,431.96,1.80,3.95,19.45,0.15,900,-
polymerP16,"[(1, 'E1'), (2, 'S8'), (3, 'E3'), (4, 'E6'), (5, 'E5'), (6, 'E6'), (7, 'E3'), (8, 'E6'), (9, 'E5'), (10, 'S1'), (11, 'E5'), (12, 'E3'), (13, 'E6'), (14, 'E1'), (15, 'E2'), (16, 'S3'), (17, 'E1'), (18, 'S9'), (19, 'S5'), (20, 'S0')]",646,715,11664.76,335.86,1.62,3.53,18.53,0.34,716,-
polymerP17,"[(1, 'E3'), (2, 'E7'), (3, 'S5'), (4, 'S9'), (5, 'S0'), (6, 'S2'), (7, 'S0'), (8, 'E5'), (9, 'S3'), (10, 'E9'), (11, 'S4'), (12, 'E5'), (13, 'E1'), (14, 'S8'), (15, 'E7'), (16, 'E7'), (17, 'S6'), (18, 'E3'), (19, 'S6'), (20, 'S7')]",775,844,17284.01,331.22,1.87,3.97,19.37,0.12,845,-
polymerP18,"[(1, 'E1'), (2, 'E1'), (3, 'E5'), (4, 'S2'), (5, 'S4'), (6, 'E4'), (7, 'E7'), (8, 'S5'), (9, 'E0'), (10, 'S0'), (11, 'S9'), (12, 'E5'), (13, 'S3'), (14, 'S8'), (15, 'S0'), (16, 'S4'), (17, 'E7'), (18, 'E3'), (19, 'S2'), (20, 'S2')]",396,465,13366.39,311.73,1.68,3.88,18.11,0.10,-,466
polymerP19,"[(1, 'S5'), (2, 'E6'), (3, 'S5'), (4, 'E9'), (5, 'S6'), (6, 'E7'), (7, 'S2'), (8, 'S8'), (9, 'S7'), (10, 'E5'), (11, 'E9'), (12, 'S5'), (13, 'S4'), (14, 'E7'), (15, 'E0'), (16, 'S8'), (17, 'S9'), (18, 'E3'), (19, 'E1'), (20, 'S3')]",694,763,19838.82,460.48,1.84,4.41,20.21,0.15,764,-
polymerP20,"[(1, 'S1'), (2, 'E0'), (3, 'S3'), (4, 'E7'), (5, 'E1'), (6, 'S6'), (7, 'E0'), (8, 'E0'), (9, 'E6'), (10, 'S2'), (11, 'S3'), (12, 'S8'), (13, 'E0'), (14, 'E6'), (15, 'E9'), (16, 'E3'), (17, 'E1'), (18, 'E1'), (19, 'S6'), (20, 'S1')]",420,489,12750.58,387.23,1.87,4.26,17.26,0.24,-,490
polymerP21,"[(1, 'S7'), (2, 'E8'), (3, 'E1'), (4, 'E6'), (5, 'S9'), (6, 'E8'), (7, 'S4'), (8, 'S1'), (9, 'E3'), (10, 'E6'), (11, 'S7'), (12, 'E4'), (13, 'E3'), (14, 'E4'), (15, 'E8'), (16, 'S8'), (17, 'E8'), (18, 'E9'), (19, 'E0'), (20, 'E1')]",655,724,16177.25,315.83,1.76,3.99,18.70,0.22,725,-
polymerP22,"[(1, 'E2'), (2, 'S0'), (3, 'E8'), (4, 'E6'), (5, 'S2'), (6, 'E7'), (7, 'S9'), (8, 'E2'), (9, 'S6'), (10, 'E7'), (11, 'E7'), (12, 'E4'), (13, 'E4'), (14, 'S3'), (15, 'E6'), (16, 'E5'), (17, 'E4'), (18, 'E7'), (19, 'E2'), (20, 'E9')]",556,625,14234.59,400.75,1.64,3.56,17.30,0.21,626,-
polymerP23,"[(1, 'S4'), (2, 'E6'), (3, 'S9'), (4, 'E3'), (5, 'E0'), (6, 'E5'), (7, 'S5'), (8, 'E7'), (9, 'S5'), (10, 'S9'), (11, 'E0'), (12, 'E6'), (13, 'S4'), (14, 'S1'), (15, 'E6'), (16, 'E5'), (17, 'S5'), (18, 'S7'), (19, 'E3'), (20, 'E1')]",677,746,18077.60,310.15,1.79,3.98,18.66,0.13,747,-
polymerP24,"[(1, 'S3'), (2, 'S8'), (3, 'S0'), (4, 'S9'), (5, 'E0'), (6, 'S3'), (7, 'E4'), (8, 'E3'), (9, 'E5'), (10, 'S3'), (11, 'S1'), (12, 'S9'), (13, 'S6'), (14, 'S2'), (15, 'S9'), (16, 'E5'), (17, 'E4'), (18, 'E5'), (19, 'E9'), (20, 'S6')]",649,718,16945.34,379.50,1.84,4.14,19.06,0.13,719,-
